id,stream,designation,location,town,order,type
1,Choconut Creek,CCD,"42.08, -76.06","Vestal, NY",4,Urban
2,Choconut Creek,CCU,"42.01, -76.00","Vestal Center, NY",3,Rural
3,Fuller Hollow Creek,FHD,"42.09, -75.96","Binghamton, NY",2,Urban
4,Fuller Hollow Creek,FHU,"42.07, -75.95","Vestal, NY",2,Suburban
5,Little Choconut Creek,LCD,"42.11, -75.97","Binghamton, NY",3,Urban
6,Little Choconut Creek,LCU,"42.20, -75.95","Binghamton, NY",2,Rural
7,Pierce Creek,PCD,"42.09, -75.89","Binghamton, NY",2,Urban
8,Pierce Creek,PCU,"42.06, -75.87","Binghamton, NY",2,Rural
9,Patterson Creek,PTD,"42.11, -76.01","Endwell, NY",3,Urban
10,Patterson Creek,PTU,"42.15, -76.01","Endwell, NY",2,Rural
11,Little Snake Creek,LSD,"42.02, -75.81","Conklin, NY",3,Reference
12,Little Snake Creek,LSU,"42.03, -75.84","Conklin Forks, NY",3,Reference
13,Trowbridge Creek,TBD,"42.00, -75.73","Windsor, NY",3,Reference
14,Trowbridge Creek,TBU,"42.04, -75.72","Windsor, NY",2,Reference
